split,track_id,profile,fp_class_name,fn_class_name,fp_time_sec,fn_time_sec,delta_ms,abs_delta_ms,fp_confidence,fp_threshold,fn_threshold,threshold_mode,checkpoint,onset_tolerance_ms
TEST,test_basic_groove_000003_109bpm,basic_groove,T12,KD,1.12,1.1,20.0,20.0,0.041228510439395905,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000010_107bpm,basic_groove,KD,SD,0.59,0.56,30.0,30.0,0.04170266166329384,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000020_96bpm,basic_groove,KD,SD,0.61,0.62,-10.0,10.0,0.18251730501651764,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000027_92bpm,basic_groove,KD,T16,2.3,2.28,20.0,20.0,0.10351689904928207,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000031_104bpm,basic_groove,KD,SD,1.03,1.01,20.0,20.0,0.05581355094909668,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000031_104bpm,basic_groove,SD,T14,1.53,1.58,-50.0,50.0,0.113462895154953,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000031_104bpm,basic_groove,SD,T16,1.53,1.58,-50.0,50.0,0.113462895154953,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000036_112bpm,basic_groove,KD,T12,1.16,1.21,-50.0,50.0,0.15390264987945557,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000049_91bpm,basic_groove,KD,T16,2.31,2.31,0.0,0.0,0.040713995695114136,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000049_91bpm,basic_groove,T12,T16,2.33,2.31,20.0,20.0,0.04647945612668991,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000051_111bpm,basic_groove,KD,T12,1.46,1.48,-20.0,20.0,0.21704144775867462,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000051_111bpm,basic_groove,KD,T14,1.7,1.75,-50.0,50.0,0.13025902211666107,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000056_102bpm,basic_groove,KD,T14,1.75,1.76,-10.0,10.0,0.0666927844285965,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000056_102bpm,basic_groove,T12,T14,1.74,1.76,-20.0,20.0,0.07395296543836594,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000061_110bpm,basic_groove,KD,SD,1.48,1.5,-20.0,20.0,0.10195178538560867,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000062_110bpm,basic_groove,KD,T12,2.05,2.05,0.0,0.0,0.1342075914144516,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000074_103bpm,basic_groove,SD,T16,1.46,1.46,0.0,0.0,0.047699224203825,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000074_103bpm,basic_groove,T14,T16,1.46,1.46,0.0,0.0,0.061603907495737076,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000076_98bpm,basic_groove,KD,SD,1.67,1.69,-20.0,20.0,0.04080561175942421,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000079_105bpm,basic_groove,KD,SD,1.74,1.71,30.0,30.0,0.04567887261509895,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000082_102bpm,basic_groove,T14,SD,1.78,1.77,10.0,10.0,0.07863349467515945,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000086_104bpm,basic_groove,T14,T16,1.78,1.73,50.0,50.0,0.04536668211221695,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000106_91bpm,basic_groove,KD,SD,2.31,2.3,10.0,10.0,0.04213375598192215,0.04,0.04,global,final,50.0
TEST,test_basic_groove_000106_91bpm,basic_groove,KD,T14,2.31,2.3,10.0,10.0,0.04213375598192215,0.04,0.04,global,final,50.0
