split,track_id,profile,duration_sec,n_total_events_track,event_density_per_sec,class_name,threshold,threshold_mode,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms
TEST,test_basic_groove_000003_109bpm,basic_groove,4.04,12,2.9702970297029703,KD,0.04,global,2,5,2,0.2857142857142857,0.5,0.36363636363636365,6.999999999999951,6.999999999999951,12.133599999999912
TEST,test_basic_groove_000003_109bpm,basic_groove,4.04,12,2.9702970297029703,SD,0.04,global,5,0,0,1.0,1.0,1.0,26.01680000000015,33.00000000000036,39.11680000000013
TEST,test_basic_groove_000003_109bpm,basic_groove,4.04,12,2.9702970297029703,T12,0.04,global,0,3,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000003_109bpm,basic_groove,4.04,12,2.9702970297029703,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000003_109bpm,basic_groove,4.04,12,2.9702970297029703,T16,0.04,global,1,0,0,1.0,1.0,1.0,33.25000000000023,33.25000000000023,33.25000000000023
TEST,test_basic_groove_000005_99bpm,basic_groove,4.25,11,2.588235294117647,KD,0.04,global,2,2,2,0.5,0.5,0.5,14.333499999999999,14.333499999999999,25.8003
TEST,test_basic_groove_000005_99bpm,basic_groove,4.25,11,2.588235294117647,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,30.125000000000014,30.125000000000014,34.15860000000005
TEST,test_basic_groove_000005_99bpm,basic_groove,4.25,11,2.588235294117647,T12,0.04,global,1,0,0,1.0,1.0,1.0,49.74999999999996,49.74999999999996,49.74999999999996
TEST,test_basic_groove_000005_99bpm,basic_groove,4.25,11,2.588235294117647,T14,0.04,global,1,0,0,1.0,1.0,1.0,25.249999999999993,25.249999999999993,25.249999999999993
TEST,test_basic_groove_000005_99bpm,basic_groove,4.25,11,2.588235294117647,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000006_98bpm,basic_groove,3.81,11,2.8871391076115485,KD,0.04,global,3,1,1,0.75,0.75,0.75,9.944333333333333,7.500000000000062,19.36639999999996
TEST,test_basic_groove_000006_98bpm,basic_groove,3.81,11,2.8871391076115485,SD,0.04,global,1,1,3,0.5,0.25,0.3333333333333333,6.833000000000089,6.833000000000089,6.833000000000089
TEST,test_basic_groove_000006_98bpm,basic_groove,3.81,11,2.8871391076115485,T12,0.04,global,1,0,0,1.0,1.0,1.0,22.167000000000048,22.167000000000048,22.167000000000048
TEST,test_basic_groove_000006_98bpm,basic_groove,3.81,11,2.8871391076115485,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000006_98bpm,basic_groove,3.81,11,2.8871391076115485,T16,0.04,global,1,0,0,1.0,1.0,1.0,7.1670000000001455,7.1670000000001455,7.1670000000001455
TEST,test_basic_groove_000010_107bpm,basic_groove,3.6,10,2.7777777777777777,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,19.33333333333335,10.417000000000009,40.149800000000035
TEST,test_basic_groove_000010_107bpm,basic_groove,3.6,10,2.7777777777777777,SD,0.04,global,2,0,1,1.0,0.6666666666666666,0.8,7.542000000000049,7.542000000000049,11.242000000000042
TEST,test_basic_groove_000010_107bpm,basic_groove,3.6,10,2.7777777777777777,T12,0.04,global,1,0,0,1.0,1.0,1.0,7.66700000000009,7.66700000000009,7.66700000000009
TEST,test_basic_groove_000010_107bpm,basic_groove,3.6,10,2.7777777777777777,T14,0.04,global,1,0,0,1.0,1.0,1.0,13.16700000000015,13.16700000000015,13.16700000000015
TEST,test_basic_groove_000010_107bpm,basic_groove,3.6,10,2.7777777777777777,T16,0.04,global,1,0,0,1.0,1.0,1.0,10.583000000000009,10.583000000000009,10.583000000000009
TEST,test_basic_groove_000020_96bpm,basic_groove,4.31,11,2.552204176334107,KD,0.04,global,2,3,2,0.4,0.5,0.4444444444444445,5.541499999999977,5.541499999999977,9.97469999999996
TEST,test_basic_groove_000020_96bpm,basic_groove,4.31,11,2.552204176334107,SD,0.04,global,2,2,2,0.5,0.5,0.5,16.249999999999957,16.249999999999957,20.849999999999962
TEST,test_basic_groove_000020_96bpm,basic_groove,4.31,11,2.552204176334107,T12,0.04,global,1,0,0,1.0,1.0,1.0,21.582999999999906,21.582999999999906,21.582999999999906
TEST,test_basic_groove_000020_96bpm,basic_groove,4.31,11,2.552204176334107,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000020_96bpm,basic_groove,4.31,11,2.552204176334107,T16,0.04,global,1,0,0,1.0,1.0,1.0,20.083000000000073,20.083000000000073,20.083000000000073
TEST,test_basic_groove_000027_92bpm,basic_groove,4.42,10,2.262443438914027,KD,0.04,global,3,3,1,0.5,0.75,0.6,8.08333333333322,4.74999999999981,16.549999999999844
TEST,test_basic_groove_000027_92bpm,basic_groove,4.42,10,2.262443438914027,SD,0.04,global,3,0,0,1.0,1.0,1.0,12.583333333333316,6.49999999999995,24.699999999999992
TEST,test_basic_groove_000027_92bpm,basic_groove,4.42,10,2.262443438914027,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000027_92bpm,basic_groove,4.42,10,2.262443438914027,T14,0.04,global,1,0,0,1.0,1.0,1.0,6.749999999999812,6.749999999999812,6.749999999999812
TEST,test_basic_groove_000027_92bpm,basic_groove,4.42,10,2.262443438914027,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,18.91666666666661,5.166999999999922,41.69979999999991
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,SD,0.04,global,2,1,2,0.6666666666666666,0.5,0.5714285714285715,19.666499999999978,19.666499999999978,23.133299999999924
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,T12,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,50.08299999999988,50.08299999999988,50.08299999999988
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000031_104bpm,basic_groove,4.13,12,2.9055690072639226,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
