split,track_id,annotation_path,n_gt_annotation_KD,n_gt_annotation_SD,n_gt_annotation_T12,n_gt_annotation_T14,n_gt_annotation_T16,n_gt_used_global_KD,n_gt_used_global_SD,n_gt_used_global_T12,n_gt_used_global_T14,n_gt_used_global_T16,n_gt_used_per_class_KD,n_gt_used_per_class_SD,n_gt_used_per_class_T12,n_gt_used_per_class_T14,n_gt_used_per_class_T16,times_seen_by_analyzer,status
TEST,test_basic_groove_000003_109bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000003_109bpm.txt,4,5,1,1,1,4,5,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000005_99bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000005_99bpm.txt,4,4,1,1,1,4,4,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000006_98bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000006_98bpm.txt,4,4,1,1,1,4,4,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000010_107bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000010_107bpm.txt,4,3,1,1,1,4,3,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000020_96bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000020_96bpm.txt,4,4,1,1,1,4,4,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000027_92bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000027_92bpm.txt,4,3,1,1,1,4,3,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000031_104bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000031_104bpm.txt,4,4,2,1,1,4,4,2,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000036_112bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000036_112bpm.txt,5,4,1,1,1,5,4,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000046_90bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000046_90bpm.txt,4,5,1,1,1,4,5,1,1,1,0,0,0,0,0,1,ok
TEST,test_basic_groove_000047_104bpm,C:\Users\rsanc\Documents\MAGISTER EN ACUSTICA Y VIBRACIONES\SEMESTRE IV\Automatic-Drum-Transcription-with-Vibrations\DATASET_GENERATOR\CUSTOM_5CLASS_MULTIPROFILE_LOW_FULL\TEST\ANNOTATIONS\test_basic_groove_000047_104bpm.txt,4,4,1,1,1,4,4,1,1,1,0,0,0,0,0,1,ok
