threshold_mode,track_id,profile,duration_sec,event_density_per_sec,TP,FP,FN,precision,recall,f1
global,test_standard_rock_000680_129bpm,standard_rock,3.61,2.770083102493075,1,9,9,0.1,0.1,0.10000000000000002
global,test_standard_rock_000126_122bpm,standard_rock,3.9,2.8205128205128207,1,6,10,0.14285714285714285,0.09090909090909091,0.1111111111111111
global,test_basic_groove_001134_104bpm,basic_groove,4.1,2.9268292682926833,2,8,10,0.2,0.16666666666666666,0.1818181818181818
global,test_standard_rock_001090_109bpm,standard_rock,4.18,2.870813397129187,2,6,10,0.25,0.16666666666666666,0.2
global,test_basic_groove_001014_104bpm,basic_groove,3.71,2.6954177897574123,2,8,8,0.2,0.2,0.20000000000000004
global,test_standard_rock_000368_123bpm,standard_rock,3.68,2.717391304347826,2,7,8,0.2222222222222222,0.2,0.2105263157894737
global,test_standard_rock_000601_139bpm,standard_rock,3.38,2.9585798816568047,2,7,8,0.2222222222222222,0.2,0.2105263157894737
global,test_standard_rock_000514_105bpm,standard_rock,4.26,2.5821596244131455,2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222
global,test_fast_dense_000643_186bpm,fast_dense,3.19,4.38871473354232,3,10,11,0.23076923076923078,0.21428571428571427,0.22222222222222224
global,test_standard_rock_001050_130bpm,standard_rock,3.83,3.133159268929504,3,12,9,0.2,0.25,0.22222222222222224
global,test_basic_groove_000146_109bpm,basic_groove,3.91,2.557544757033248,2,6,8,0.25,0.2,0.22222222222222224
global,test_basic_groove_000739_108bpm,basic_groove,4.2,2.619047619047619,3,11,8,0.21428571428571427,0.2727272727272727,0.23999999999999996
global,test_fast_dense_000894_182bpm,fast_dense,3.3,4.242424242424242,3,8,11,0.2727272727272727,0.21428571428571427,0.23999999999999996
global,test_standard_rock_000439_101bpm,standard_rock,4.36,2.5229357798165135,3,11,8,0.21428571428571427,0.2727272727272727,0.23999999999999996
global,test_fast_dense_000906_150bpm,fast_dense,3.58,3.072625698324022,3,10,8,0.23076923076923078,0.2727272727272727,0.24999999999999994
global,test_basic_groove_000817_101bpm,basic_groove,4.2,2.619047619047619,3,9,8,0.25,0.2727272727272727,0.2608695652173913
global,test_basic_groove_001011_110bpm,basic_groove,3.75,2.933333333333333,3,9,8,0.25,0.2727272727272727,0.2608695652173913
global,test_basic_groove_001030_95bpm,basic_groove,4.51,2.6607538802660757,3,8,9,0.2727272727272727,0.25,0.2608695652173913
global,test_basic_groove_001120_102bpm,basic_groove,3.89,3.0848329048843186,3,8,9,0.2727272727272727,0.25,0.2608695652173913
global,test_standard_rock_000125_135bpm,standard_rock,3.75,3.2,3,8,9,0.2727272727272727,0.25,0.2608695652173913
global,test_fill_heavy_000426_109bpm,fill_heavy,4.18,2.870813397129187,4,14,8,0.2222222222222222,0.3333333333333333,0.26666666666666666
global,test_basic_groove_000737_103bpm,basic_groove,4.01,2.743142144638404,3,8,8,0.2727272727272727,0.2727272727272727,0.2727272727272727
global,test_fast_dense_001157_185bpm,fast_dense,3.19,3.134796238244514,3,9,7,0.25,0.3,0.2727272727272727
global,test_humanized_mixed_000798_98bpm,humanized_mixed,4.42,2.262443438914027,3,9,7,0.25,0.3,0.2727272727272727
global,test_standard_rock_000026_107bpm,standard_rock,4.15,2.4096385542168672,3,9,7,0.25,0.3,0.2727272727272727
global,test_basic_groove_001153_104bpm,basic_groove,4.14,2.6570048309178746,4,14,7,0.2222222222222222,0.36363636363636365,0.27586206896551724
global,test_basic_groove_001085_94bpm,basic_groove,4.37,2.517162471395881,3,7,8,0.3,0.2727272727272727,0.28571428571428564
global,test_fill_heavy_000044_110bpm,fill_heavy,4.11,2.4330900243309,3,8,7,0.2727272727272727,0.3,0.28571428571428564
global,test_standard_rock_000632_132bpm,standard_rock,3.57,3.081232492997199,3,7,8,0.3,0.2727272727272727,0.28571428571428564
global,test_fast_dense_001034_155bpm,fast_dense,3.52,4.261363636363637,4,9,11,0.3076923076923077,0.26666666666666666,0.28571428571428575
global,test_standard_rock_001126_105bpm,standard_rock,4.21,2.8503562945368173,4,12,8,0.25,0.3333333333333333,0.28571428571428575
global,test_humanized_mixed_000134_100bpm,humanized_mixed,4.38,2.73972602739726,3,6,9,0.3333333333333333,0.25,0.28571428571428575
global,test_standard_rock_000938_138bpm,standard_rock,3.71,3.234501347708895,3,6,9,0.3333333333333333,0.25,0.28571428571428575
global,test_basic_groove_000196_98bpm,basic_groove,4.41,2.7210884353741496,4,11,8,0.26666666666666666,0.3333333333333333,0.2962962962962963
global,test_basic_groove_000910_96bpm,basic_groove,4.42,2.7149321266968327,4,11,8,0.26666666666666666,0.3333333333333333,0.2962962962962963
global,test_humanized_mixed_000835_145bpm,humanized_mixed,3.63,3.3057851239669422,4,11,8,0.26666666666666666,0.3333333333333333,0.2962962962962963
global,test_fast_dense_000563_154bpm,fast_dense,3.15,4.444444444444445,4,9,10,0.3076923076923077,0.2857142857142857,0.29629629629629634
global,test_fast_dense_000813_161bpm,fast_dense,3.37,4.154302670623145,4,9,10,0.3076923076923077,0.2857142857142857,0.29629629629629634
global,test_fill_heavy_000901_98bpm,fill_heavy,4.42,3.167420814479638,4,9,10,0.3076923076923077,0.2857142857142857,0.29629629629629634
global,test_basic_groove_000411_95bpm,basic_groove,4.44,2.252252252252252,3,7,7,0.3,0.3,0.3
global,test_basic_groove_000452_98bpm,basic_groove,4.13,2.4213075060532687,3,7,7,0.3,0.3,0.3
global,test_basic_groove_000538_93bpm,basic_groove,4.55,2.417582417582418,3,6,8,0.3333333333333333,0.2727272727272727,0.3
global,test_basic_groove_000934_97bpm,basic_groove,3.99,2.506265664160401,3,7,7,0.3,0.3,0.3
global,test_fill_heavy_000803_120bpm,fill_heavy,3.98,2.763819095477387,3,6,8,0.3333333333333333,0.2727272727272727,0.3
global,test_standard_rock_000150_129bpm,standard_rock,3.83,2.8720626631853787,3,6,8,0.3333333333333333,0.2727272727272727,0.3
global,test_standard_rock_000386_102bpm,standard_rock,3.74,2.6737967914438503,3,7,7,0.3,0.3,0.3
global,test_standard_rock_000997_112bpm,standard_rock,3.98,2.512562814070352,3,7,7,0.3,0.3,0.3
global,test_fill_heavy_000226_130bpm,fill_heavy,3.83,3.3942558746736293,4,9,9,0.3076923076923077,0.3076923076923077,0.3076923076923077
global,test_fill_heavy_000573_102bpm,fill_heavy,4.32,3.009259259259259,4,9,9,0.3076923076923077,0.3076923076923077,0.3076923076923077
global,test_humanized_mixed_000008_148bpm,humanized_mixed,3.6,3.888888888888889,5,13,9,0.2777777777777778,0.35714285714285715,0.31250000000000006
global,test_basic_groove_000410_111bpm,basic_groove,4.01,2.493765586034913,3,6,7,0.3333333333333333,0.3,0.3157894736842105
global,test_fill_heavy_000053_109bpm,fill_heavy,3.9,2.5641025641025643,3,6,7,0.3333333333333333,0.3,0.3157894736842105
global,test_humanized_mixed_000882_136bpm,humanized_mixed,3.57,3.081232492997199,3,5,8,0.375,0.2727272727272727,0.3157894736842105
global,test_basic_groove_000454_93bpm,basic_groove,3.91,3.0690537084398977,4,9,8,0.3076923076923077,0.3333333333333333,0.32
global,test_basic_groove_000633_114bpm,basic_groove,3.89,3.0848329048843186,4,9,8,0.3076923076923077,0.3333333333333333,0.32
global,test_basic_groove_000695_96bpm,basic_groove,4.48,2.455357142857143,4,10,7,0.2857142857142857,0.36363636363636365,0.32
global,test_basic_groove_000931_111bpm,basic_groove,4.01,2.9925187032418954,4,9,8,0.3076923076923077,0.3333333333333333,0.32
global,test_standard_rock_000437_127bpm,standard_rock,3.74,3.2085561497326203,4,9,8,0.3076923076923077,0.3333333333333333,0.32
global,test_standard_rock_000502_139bpm,standard_rock,3.71,2.964959568733154,4,10,7,0.2857142857142857,0.36363636363636365,0.32
global,test_fill_heavy_001138_117bpm,fill_heavy,4.02,3.73134328358209,5,11,10,0.3125,0.3333333333333333,0.3225806451612903
global,test_fill_heavy_000787_104bpm,fill_heavy,4.24,3.5377358490566038,6,16,9,0.2727272727272727,0.4,0.3243243243243243
global,test_basic_groove_000082_102bpm,basic_groove,3.9,2.8205128205128207,3,4,8,0.42857142857142855,0.2727272727272727,0.33333333333333326
global,test_basic_groove_000540_99bpm,basic_groove,4.41,2.2675736961451247,3,5,7,0.375,0.3,0.33333333333333326
global,test_basic_groove_000551_106bpm,basic_groove,3.81,2.8871391076115485,3,4,8,0.42857142857142855,0.2727272727272727,0.33333333333333326
global,test_basic_groove_000754_113bpm,basic_groove,3.83,2.6109660574412534,3,5,7,0.375,0.3,0.33333333333333326
global,test_fast_dense_000238_186bpm,fast_dense,3.26,4.9079754601226995,5,9,11,0.35714285714285715,0.3125,0.3333333333333333
global,test_basic_groove_000185_113bpm,basic_groove,3.96,3.0303030303030303,4,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333
